api,kind,scope,code_or_message,description,doc_url
messaging-api,status-code,Common specifications,200 OK,Request successful.,https://developers.line.biz/en/reference/messaging-api/#status-codes
messaging-api,status-code,Common specifications,400 Bad Request,Problem with the request.,https://developers.line.biz/en/reference/messaging-api/#status-codes
messaging-api,status-code,Common specifications,401 Unauthorized,Valid channel access token is not specified.,https://developers.line.biz/en/reference/messaging-api/#status-codes
messaging-api,status-code,Common specifications,403 Forbidden,Not authorized to access the resource. Confirm that your account or plan is authorized to access the resource.,https://developers.line.biz/en/reference/messaging-api/#status-codes
messaging-api,status-code,Common specifications,404 Not Found,"Unable to get profile information. Consider these reasons:<ul><li>Target user ID doesn't exist.</li><li>The user hasn't consented to their profile information being obtained.</li><li>The user hasn't added the target LINE Official Account as a friend.</li><li>The user blocked the target LINE Official Account after adding it as a friend.</li></ul>For more information, see Consent on getting user profile information in the Messaging API documentation.",https://developers.line.biz/en/reference/messaging-api/#status-codes
messaging-api,status-code,Common specifications,409 Conflict,"An API request with the same retry key has already been accepted. For details, see Retry failed API request.",https://developers.line.biz/en/reference/messaging-api/#status-codes
messaging-api,status-code,Common specifications,410 Gone,Access to the resource that is no longer available.,https://developers.line.biz/en/reference/messaging-api/#status-codes
messaging-api,status-code,Common specifications,413 Payload Too Large,Request exceeds the max size of 2MB. Make the request smaller than 2MB and try again.,https://developers.line.biz/en/reference/messaging-api/#status-codes
messaging-api,status-code,Common specifications,415 Unsupported Media Type,Media type of the uploaded file is unsupported.,https://developers.line.biz/en/reference/messaging-api/#status-codes
messaging-api,status-code,Common specifications,429 Too Many Requests,"<ul><li>Exceeded the rate limit for requests.</li><li>Exceeded the Limit on the number of concurrent operations for requests.</li><li>Exceeded the number of free messages.</li><li>Exceeded your maximum number of additional messages allowed to be sent.</li></ul><p>For more information about the number of free messages and the maximum number of additional messages allowed to be sent, see Messaging API pricing in the Messaging API documentation.</p><p>You may also receive this error even if you still have messages available to send for the current month. For more information, see Why do I get a 4",https://developers.line.biz/en/reference/messaging-api/#status-codes
messaging-api,status-code,Common specifications,500 Internal Server Error,Error on the internal server.,https://developers.line.biz/en/reference/messaging-api/#status-codes
messaging-api,error-message,Common specifications,The request body has X error(s),"An error was found in the JSON data of the request body. The number of errors is displayed for ""X"". Further details are shown in the details[].message and details[].property properties.",https://developers.line.biz/en/reference/messaging-api/#error-responses
messaging-api,error-message,Common specifications,Invalid reply token,The reply token specified in replyToken to send reply message is invalid. Consider these reasons:<ul><li>Sent a reply message using an expired reply token.</li><li>Sent a reply message using a used reply token.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#error-responses
messaging-api,error-message,Common specifications,"The property, XXX, in the request body is invalid (line: XXX, column: XXX)","An invalid property was specified in the request body. The specific property is displayed for ""XXX"".",https://developers.line.biz/en/reference/messaging-api/#error-responses
messaging-api,error-message,Common specifications,"The request body could not be parsed as JSON (line: XXX, column: XXX)",The JSON in the request body could not be parsed. The specific line and column are displayed.,https://developers.line.biz/en/reference/messaging-api/#error-responses
messaging-api,error-message,Common specifications,"The content type, XXX, is not supported",A content type not supported by the API is requested.,https://developers.line.biz/en/reference/messaging-api/#error-responses
messaging-api,error-message,Common specifications,Authentication failed due to the following reason: XXX,"Authentication failed when the API was called. The reason is displayed for ""XXX"".",https://developers.line.biz/en/reference/messaging-api/#error-responses
messaging-api,error-message,Common specifications,Access to this API is not available for your account,Appears when calling an API that you do not have permission to use.,https://developers.line.biz/en/reference/messaging-api/#error-responses
messaging-api,error-message,Common specifications,Failed to send messages,Appears when the message fails to be sent. One reason this may appear is if the user ID specified doesn't exist.,https://developers.line.biz/en/reference/messaging-api/#error-responses
messaging-api,error-message,Common specifications,You have reached your monthly limit.,"<ul><li>Exceeded the number of free messages.</li><li>Exceeded your maximum number of additional messages allowed to be sent.</li></ul><p>For more information about the number of free messages and the maximum number of additional messages allowed to be sent, see Messaging API pricing in the Messaging API documentation.</p><p>You may also receive this error even if you still have messages available to send for the current month. For more information, see Why do I get a 429 Too Many Requests error (You have reached your monthly limit.) even though I still have messages available to send for the ",https://developers.line.biz/en/reference/messaging-api/#error-responses
messaging-api,error-message,Common specifications,The API rate limit has been exceeded. Try again later.,Exceeded the rate limit for requests.,https://developers.line.biz/en/reference/messaging-api/#error-responses
messaging-api,error-message,Common specifications,Not found,"Unable to get profile information. Consider these reasons:<ul><li>Target user ID doesn't exist</li><li>The user hasn't consented to their profile information being obtained</li><li>The user hasn't added the target LINE Official Account as a friend</li><li>The user blocked the target LINE Official Account after adding it as a friend</li></ul>For more information, see Consent on getting user profile information in the Messaging API documentation.",https://developers.line.biz/en/reference/messaging-api/#error-responses
messaging-api,endpoint-error,Set webhook endpoint URL,400,An invalid webhook endpoint URL is specified.,https://developers.line.biz/en/reference/messaging-api/#set-webhook-endpoint-url
messaging-api,endpoint-error,Get webhook endpoint information,404,The webhook URL isn't set to the channel.,https://developers.line.biz/en/reference/messaging-api/#get-webhook-endpoint-information
messaging-api,endpoint-error,Test webhook endpoint,400,An invalid webhook URL is specified.,https://developers.line.biz/en/reference/messaging-api/#test-webhook-endpoint
messaging-api,endpoint-error,Test webhook endpoint,404,The webhook URL isn't set to the channel.,https://developers.line.biz/en/reference/messaging-api/#test-webhook-endpoint
messaging-api,endpoint-error,Issue channel access token v2.1,400,Problem with the request. Consider these reasons:<ul><li>The JWT assertion verification failed.</li><li>The JWT assertion has expired.</li><li>The maximum number of channel access tokens that can be issued has been reached.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#issue-channel-access-token-v21
messaging-api,endpoint-error,Issue channel access token v2.1,404,The signature key associated with the JWT assertion isn't registered in the channel.,https://developers.line.biz/en/reference/messaging-api/#issue-channel-access-token-v21
messaging-api,endpoint-error,Verify the validity of the channel access token v2.1,400,Problem with the request. Consider these reasons:<ul><li>An invalidly formatted channel access token is specified.</li><li>The channel access token has expired.</li><li>A non-existent channel access token is specified.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#verify-the-validity-of-the-channel-access-token-v21
messaging-api,endpoint-error,Get all valid channel access token key IDs v2.1,400,Problem with the request. Consider these reasons:<ul><li>The JWT assertion verification failed.</li><li>The JWT assertion has expired.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#get-all-valid-channel-access-token-key-ids-v21
messaging-api,endpoint-error,Get all valid channel access token key IDs v2.1,404,The signature key associated with the JWT assertion isn't registered in the channel.,https://developers.line.biz/en/reference/messaging-api/#get-all-valid-channel-access-token-key-ids-v21
messaging-api,endpoint-error,Revoke channel access token v2.1,400,Problem with the request. Consider these reasons:<ul><li>An invalidly formatted channel access token is specified.</li><li>A non-existent channel access token is specified.</li><li>A malformed channel access is specified.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#revoke-channel-access-token-v21
messaging-api,endpoint-error,Issue stateless channel access token,400,Problem with the request. Consider these reasons:<ul><li>An invalid channel ID is specified.</li><li>An invalid channel secret is specified.</li><li>The JWT assertion verification failed.</li><li>The JWT assertion has expired.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#issue-stateless-channel-access-token
messaging-api,endpoint-error,Issue stateless channel access token,404,The signature key associated with the JWT assertion isn't registered in the channel.,https://developers.line.biz/en/reference/messaging-api/#issue-stateless-channel-access-token
messaging-api,endpoint-error,Issue short-lived channel access token,400,Problem with the request. Consider these reasons:<ul><li>An invalid channel ID is specified.</li><li>An invalid channel secret is specified.</li><li>The request parameters are in the wrong format.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#issue-short-lived-channel-access-token
messaging-api,endpoint-error,Issue short-lived channel access token,429,Exceeded the rate limit.,https://developers.line.biz/en/reference/messaging-api/#issue-short-lived-channel-access-token
messaging-api,endpoint-error,Verify the validity of short-lived and long-lived channel access tokens,400,Problem with the request. Consider these reasons:<ul><li>An invalid channel access token is specified.</li><li>An invalidly formatted channel access token is specified.</li><li>The channel access token has expired.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#verify-the-validity-of-short-lived-and-long-lived-channel-access-tokens
messaging-api,endpoint-error,Revoke short-lived or long-lived channel access token,400,An invalidly formatted channel access token is specified.,https://developers.line.biz/en/reference/messaging-api/#revoke-short-lived-or-long-lived-channel-access-token
messaging-api,endpoint-error,Send reply message,400,Couldn't send the message. Consider these reasons:<ul><li>An invalid reply token is specified.</li><li>An invalid message object is specified.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#send-reply-message
messaging-api,endpoint-error,Send push message,400,"Couldn't send the message. Consider these reasons:<ul><li>A user ID that doesn't exist in this channel is specified, such as a user ID obtained from channels under other providers.</li><li>A non-existent group or a group that your LINE Official Account doesn't participate in is specified.</li><li>A non-existent multi-person chat or a multi-person chat that your LINE Official Account doesn't participate in is specified.</li><li>An invalid message object is specified.</li></ul>",https://developers.line.biz/en/reference/messaging-api/#send-push-message
messaging-api,endpoint-error,Send push message,409,"A request containing the same retry key has already been accepted. For more information, see Response if the request has already been accepted in the Retrying an API request.",https://developers.line.biz/en/reference/messaging-api/#send-push-message
messaging-api,endpoint-error,Send push message,429,"The number of requests has exceeded the limit. Consider these reasons:<ul><li>Exceeded the rate limit for this endpoint.</li><li>A large number of messages were sent to the same user.</li><li>Exceeded the target limit for sending messages this month.</li></ul>For more information about the target limit for sending messages, see Messaging API pricing in the Messaging API documentation.",https://developers.line.biz/en/reference/messaging-api/#send-push-message
