issue,symptom,cause,solution,area,severity,doc_url
Webhook 簽章驗證失敗,x-line-signature 比對永遠不相等,用了框架 parse 過的 JSON 再 re-serialize（空白/順序改變）；或用 channel access token 當金鑰,"用「原始 request body bytes」計算：Base64(HMAC-SHA256(channel secret, raw_body))，再與 x-line-signature 做 constant-time 比對。Express 要用 express.raw()，Flask 用 request.get_data()，Laravel 用 $request->getContent()",webhook,critical,https://developers.line.biz/en/docs/messaging-api/verify-webhook-signature/
Invalid reply token,回覆訊息時 400 Invalid reply token,replyToken 已過期或已被使用過,每個 replyToken 只能用一次、且需在收到 webhook 後 1 分鐘內使用；逾時或第二則訊息請改用 push message。webhook 重送時的 replyToken 也只有 1 分鐘,messaging-api,high,https://developers.line.biz/en/reference/messaging-api/#send-reply-message
401 Unauthorized,所有 API 都回 401,channel access token 過期、複製到錯的 channel、或前後有多餘空白/換行,確認 Authorization: Bearer {token} 格式正確；long-lived token 換 channel 後會失效；stateless token 只有 15 分鐘要重新取得,auth,high,https://developers.line.biz/en/docs/basics/channel-access-token/
429 You have reached your monthly limit,push/multicast 回 429,免費訊息額度用完，或超出加購訊息上限,到 LINE Official Account Manager 查看用量並升級方案；或改用 reply message（回覆訊息不計入額度）,messaging-api,high,https://developers.line.biz/en/docs/messaging-api/pricing/
429 rate limit exceeded,短時間大量呼叫後回 429,超過該端點 rate limit 或同時併發數上限,依 endpoints.csv 的 rate_limit 欄位節流；push 為 2000 req/sec，getProfile 等查詢類較低。加上指數退避重試,messaging-api,medium,https://developers.line.biz/en/reference/messaging-api/#rate-limits
取得使用者 profile 回 404,GET /v2/bot/profile/{userId} 回 404 Not Found,使用者未加好友、已封鎖、或未同意提供 profile,404 是正常情境不是 bug；程式要能容忍取不到 profile。要在 LIFF/LINE Login 內取 profile 請改用 user access token,messaging-api,medium,https://developers.line.biz/en/docs/messaging-api/user-consent/
push 訊息回 400 the user is not found,指定 userId 卻送不出去,userId 來自不同 provider 底下的 channel,userId 是「每個 provider 一組」，跨 provider 不通用。同一 provider 下的 Messaging API channel 與 LINE Login channel 才會拿到相同 userId,messaging-api,high,https://developers.line.biz/en/docs/messaging-api/getting-user-ids/
Webhook 完全收不到事件,LINE Developers Console 測試成功但實際訊息沒進來,Console 的 Use webhook 沒開；或 LINE Official Account Manager 的「自動回應訊息」開著把訊息吃掉,Console → Messaging API → Use webhook 打開；再到 LINE Official Account Manager → 回應設定 → 關閉「自動回應訊息」、開啟「Webhook」,webhook,critical,https://developers.line.biz/en/docs/messaging-api/building-bot/
Webhook URL 驗證失敗,Console 按 Verify 顯示錯誤,URL 非 HTTPS、憑證不合規、或沒有在 1 秒內回 200,必須是 HTTPS 且憑證鏈完整（不接受自簽）；收到 webhook 先立刻回 200 再非同步處理,webhook,high,https://developers.line.biz/en/docs/messaging-api/verify-webhook-url/
同一則訊息被處理兩次,使用者只傳一次但資料庫寫了兩筆,LINE 在未收到 200 時會重送 webhook,用 webhookEventId 做冪等去重（存進 Redis/DB unique index）；並確保先回 200 再處理,webhook,high,https://developers.line.biz/en/docs/messaging-api/receiving-messages/
