api,category,title,method,host,path,query_params,auth,rate_limit,operation_id,spec,description,doc_url
liff-server,Server API,Get all LIFF apps,GET,https://api.line.me,/liff/v1/apps,,channel access token,,getAllLIFFApps,liff.yml,Gets information on all the LIFF apps added to the channel.,https://developers.line.biz/en/reference/liff-server/#get-all-liff-apps
liff-server,Server API,Adding the LIFF app to a channel,POST,https://api.line.me,/liff/v1/apps,,channel access token,,addLIFFApp,liff.yml,Adding the LIFF app to a channel,https://developers.line.biz/en/reference/liff-server/#adding-the-liff-app-to-a-channel
liff-server,Server API,Delete LIFF app from a channel,DELETE,https://api.line.me,/liff/v1/apps/{liffId},,channel access token,,deleteLIFFApp,liff.yml,Deletes a LIFF app from a channel.,https://developers.line.biz/en/reference/liff-server/#delete-liff-app-from-a-channel
liff-server,Server API,Update LIFF app settings,PUT,https://api.line.me,/liff/v1/apps/{liffId},,channel access token,,updateLIFFApp,liff.yml,Update LIFF app settings,https://developers.line.biz/en/reference/liff-server/#update-liff-app-settings
line-login,Friendship status,Get friendship status,GET,https://api.line.me,/friendship/v1/status,,user access token,,,,,https://developers.line.biz/en/reference/line-login/#get-friendship-status
line-login,OAuth,Get user information,GET,https://api.line.me,/oauth2/v2.1/userinfo,,channel ID + channel secret (or none),,,,,https://developers.line.biz/en/reference/line-login/#get-user-information
line-login,OAuth,Verify ID token,POST,https://api.line.me,/oauth2/v2.1/verify,,channel ID + channel secret (or none),,,,,https://developers.line.biz/en/reference/line-login/#verify-id-token
line-login,OAuth,Deauthorize your app to which the user has granted permissions,POST,https://api.line.me,/user/v1/deauthorize,,user access token,,,,,https://developers.line.biz/en/reference/line-login/#deauthorize-your-app-to-which-the-user-has-granted-permissions
line-login,Profile,Get user profile,GET,https://api.line.me,/v2/profile,,user access token,,,,,https://developers.line.biz/en/reference/line-login/#get-user-profile
line-mini-app,In-app purchase (Server),Reserve purchase,POST,https://api.line.me,/iap/v1/product/reserve,,channel access token / user access token,,,,,https://developers.line.biz/en/reference/line-mini-app/#reserve-purchase
line-mini-app,In-app purchase (Server),Get webhook event history,GET,https://api.line.me,/iap/v1/webhook/events,,channel access token / user access token,,,,,https://developers.line.biz/en/reference/line-mini-app/#get-webhook-event-history
line-mini-app,Service Messages,Sending service messages,POST,https://api.line.me,/message/v3/notifier/send,,channel access token / user access token,,,,,https://developers.line.biz/en/reference/line-mini-app/#sending-service-messages
line-mini-app,Service Messages,Issuing a service notification token,POST,https://api.line.me,/message/v3/notifier/token,,channel access token / user access token,,,,,https://developers.line.biz/en/reference/line-mini-app/#issuing-a-service-notification-token
line-notification-messages,LINE notification messages (flexible),Send a LINE notification message (flexible),POST,https://api.line.me,/bot/pnp/push,,channel access token,"2,000 requests per second",pushMessagesByPhone,messaging-api.yml,Send LINE notification message,https://developers.line.biz/en/reference/line-notification-messages/#send-a-line-notification-message-flexible
