product,page,title,sections,section_count,doc_url
basics,basics/channel-access-token,Channel access token,What is a channel / Why use channel access tokens / Types of channel access tokens / Channel access token with a user-specified expiration (Channel access token v2.1) / Stateless channel access token / Short-lived channel access token / Long-lived channel access token / Example of channel access token operation / Checklist / Can be used repeatedly within the validity period / Revoke any channel access tokens suspected of being compromised,11,https://developers.line.biz/en/docs/basics/channel-access-token/
basics,basics/line-api-status,Check the availability of the LINE Platform (LINE API Status),What is LINE API Status / Provision of ATOM and RSS feeds / Display when operation is stable / Display when outage occurs / Services covered by LINE API Status / Accessing LINE API Status,6,https://developers.line.biz/en/docs/basics/line-api-status/
basics,basics/user-profile,Get user profile information,What is user profile information / Common Profile / LINE Profile+ / How to get profile information / Types of profile information that can be obtained,5,https://developers.line.biz/en/docs/basics/user-profile/
basics,basics,LINE Platform basics,General,1,https://developers.line.biz/en/docs/basics/
downloads,downloads,LINE API SDKs,LINE Messaging API SDKs / Official SDKs / LINE OpenAPI / Community SDKs and libraries / LIFF SDK / LINE SDK for iOS Swift / LINE SDK for Android / LINE SDK for Unity / LINE SDK for Flutter,9,https://developers.line.biz/en/docs/downloads/
liff,liff/cli-tool-create-liff-app,Building a LIFF app development environment with Create LIFF App,What is Create LIFF App / Languages and frameworks / Languages that can be generated by the Create LIFF App / Frameworks that can be generated with Create LIFF App / Operating environment / Advance preparation / Using the Create LIFF App / Create a development environment using the Create LIFF App / Start the LIFF app on the localhost / Next step,10,https://developers.line.biz/en/docs/liff/cli-tool-create-liff-app/
liff,liff/developing-liff-apps,Developing a LIFF app,Setting the title of the LIFF app / Integrating the LIFF SDK with the LIFF app / Specify the CDN path / Use the npm package / Initializing the LIFF app / Important points to consider when initializing the LIFF app / To use LINE Login in an external browser / Calling the LIFF API / Getting the environment in which the LIFF app is running / Performing a login process / Opening a URL / Opening the 2D code reader / Getting the screen type from which the LIFF app was launched / Get user profile / Getting the friendship status between the user and the LINE Official Account / Requesting the user to a,26,https://developers.line.biz/en/docs/liff/developing-liff-apps/
liff,liff/development-guidelines,LIFF app development guidelines,Be sure to securely handle user data / Cautions for initializing LIFF apps / LIFF app development rules / Prohibiting mass requests to the LINE Platform / Deauthorize your app when a user unregisters from your app,5,https://developers.line.biz/en/docs/liff/development-guidelines/
liff,liff/differences-between-liff-browser-and-external-browser,The differences between the LIFF browser and external browser,,0,https://developers.line.biz/en/docs/liff/differences-between-liff-browser-and-external-browser/
liff,liff/differences-between-liff-browser-and-line-in-app-browser,The differences between LIFF browser and LINE's in-app browser,LIFF browser / LINE's in-app browser / Identify whether a browser is the LIFF browser or LINE's in-app browser / Identify from the user interface / Identify using the `liff.isInClient()` method / The differences in features available between the LIFF browser and LINE's in-app browser,6,https://developers.line.biz/en/docs/liff/differences-between-liff-browser-and-line-in-app-browser/
