name,kind,category,before_init,introduced_in,introduced_on,syntax,returns,description,doc_url
liff.id,property,LIFF SDK properties,false,2.3.0,2020-06-29,,,"The property that holds the LIFF app ID (`String` type) passed to [`liff.init()`](https://developers.line.biz/en/reference/liff/#initialize-liff-app). The value of `liff.id` is `null` until you run `liff.init()`. _Example_ const liffId = ""my-liff-id"";",https://developers.line.biz/en/reference/liff/#liffid
liff.ready,property,LIFF SDK properties,true,2.3.0,2020-06-29,,,"A property holding the `Promise` object that resolves when you run [`liff.init()`](https://developers.line.biz/en/reference/liff/#initialize-liff-app) for the first time after starting the LIFF app. If you use `liff.ready`, you can execute any process after the completion of `liff.init()`. **This property can be used before the LIFF app is initialized** You can use `liff.ready` even before the ini",https://developers.line.biz/en/reference/liff/#liffready
liff.init(),method,Initialization,false,2.3.0,2020-06-29,"liff.init(config, successCallback, errorCallback);",Returns a `Promise` object.,"Initializes a LIFF app. You can only call other LIFF SDK methods after executing the `liff.init()` method. LIFF apps must be initialized each time a page is opened. Even if the transition is within the same LIFF app, you should execute the `liff.init()` method when you open a new page. If you use LIFF features without properly initializing the LIFF app, we don't guarantee that the features will wo",https://developers.line.biz/en/reference/liff/#liffinit
liff.getOS(),method,Getting environment,true,2.22.0,,liff.getOS();,"The environment in which the user is running the LIFF app is returned as a string. Since the return value is based on the name of the OS in the user agent string, the return value is independent of the browser type ([LIFF browser](https://developers.line.biz/en/glossary/#liff-browser), [LINE's in-app browser](https://developers.line.biz/en/glossary/#line-iab), [external browser](https://developers.line.biz/en/glossary/#external-browser)).",Gets the environment in which the user is running the LIFF app. **This method can be used before the LIFF app is initialized** You can use this method even before the initialization of the LIFF app by `liff.init()` has finished.,https://developers.line.biz/en/reference/liff/#liffgetos
liff.getAppLanguage(),method,Getting environment,true,2.24.0,,liff.getAppLanguage();,The language setting of the LINE app running the LIFF app is returned as a string that follows [RFC 5646](https://datatracker.ietf.org/doc/html/rfc5646).,Gets the language setting of the LINE app running the LIFF app. **This method can be used before the LIFF app is initialized** You can use this method even before the initialization of the LIFF app by `liff.init()` has finished.,https://developers.line.biz/en/reference/liff/#liffgetapplanguage
liff.getLanguage(),method,Getting environment,true,2.22.0,,liff.getLanguage();,String containing language settings specified in `navigator.language` in the LIFF app's running environment.,"**The liff.getLanguage() method is deprecated** The `liff.getLanguage()` method is deprecated. To get the language setting of the environment in which the LIFF app is running, use the [`liff.getAppLanguage()`](https://developers.line.biz/en/reference/liff/#get-app-language) method. For more information, see the news from [July 23, 2024](https://developers.line.biz/en/news/2024/07/23/release-liff-2",https://developers.line.biz/en/reference/liff/#liffgetlanguage
liff.getVersion(),method,Getting environment,true,2.22.0,,liff.getVersion();,The version of the LIFF SDK is returned as a string.,Gets the version of the LIFF SDK. **This method can be used before the LIFF app is initialized** You can use this method even before the initialization of the LIFF app by `liff.init()` has finished.,https://developers.line.biz/en/reference/liff/#liffgetversion
liff.getLineVersion(),method,Getting environment,true,2.3.0,2020-06-29,liff.getLineVersion();,"If a user opens the LIFF app using a LIFF browser, the LINE version of the user is returned as a string. If a user opens the LIFF app using an external browser, `null` is returned.",Gets the user's LINE version. **This method can be used before the LIFF app is initialized** You can use this method even before the initialization of the LIFF app by `liff.init()` has finished.,https://developers.line.biz/en/reference/liff/#liffgetlineversion
liff.getContext(),method,Getting environment,false,2.4.1,2020-09-24,liff.getContext();,A data object that contains the information necessary to make various API calls.,"Gets the screen type (1-on-1 chat, group chat, multi-person chat, or external browser) from which the LIFF app is launched. **We've discontinued providing company internal identifiers of chat rooms to LIFF apps** We've discontinued providing company internal identifiers of chat rooms (one-on-one chat ID, group ID, and room ID) to LIFF apps. For more information, see the news from February 6, 2023,",https://developers.line.biz/en/reference/liff/#liffgetcontext
liff.isInClient(),method,Getting environment,true,,,liff.isInClient();,- `true`: Running in [LIFF browser](https://developers.line.biz/en/glossary/#liff-browser),Determines whether the LIFF app is running in a LIFF browser. **This method can be used before the LIFF app is initialized** You can use this method even before the initialization of the LIFF app by `liff.init()` has finished.,https://developers.line.biz/en/reference/liff/#liffisinclient
liff.isLoggedIn(),method,Getting environment,false,,,liff.isLoggedIn();,- `true`: The user is logged in.,"Checks whether the user is logged in. _Example_ if (liff.isLoggedIn()) { // The user can use an API that requires an access token, such as liff.getProfile().",https://developers.line.biz/en/reference/liff/#liffisloggedin
liff.isApiAvailable(),method,Getting environment,false,2.3.0,2020-06-29,liff.isApiAvailable(apiName);,"Returns whether the specified API or feature is available in the current environment. If available, `true` is returned. If not, `false` is returned. Examples of `false` returned are as follows:","Checks whether the specified API or feature is available in the environment where you started the LIFF app. Specifically, it verifies whether the current LINE version supports the API and whether the terms and conditions for the API have been accepted. _Example_ // Check if shareTargetPicker is available if (liff.isApiAvailable('shareTargetPicker')) {",https://developers.line.biz/en/reference/liff/#liffisapiavailable
liff.login(),method,Authentication,false,2.15.0,2021-09-30,liff.login(loginConfig);,None,"Performs the login process in the [LINE's in-app browser](https://developers.line.biz/en/glossary/#line-iab) or [external browser](https://developers.line.biz/en/glossary/#external-browser). **Note** You can't use `liff.login()` in a LIFF browser, as it is automatically executed when `liff.init()` is executed. **Authorization requests within LIFF browser**",https://developers.line.biz/en/reference/liff/#lifflogin
liff.logout(),method,Authentication,false,,,liff.logout();,None,Logs out. _Example_ if (liff.isLoggedIn()) { liff.logout();,https://developers.line.biz/en/reference/liff/#lifflogout
