api,section,endpoint,block,parameter,value_type,required,props,max,description,doc_url
messaging-api,Common specifications,Error responses,,message,String,,,,"Message containing information about the error. For more details, see Error messages.",https://developers.line.biz/en/reference/messaging-api/#error-responses
messaging-api,Common specifications,Error responses,,details,Array,false,"annotation=""Not always included""",,"An array of error details. If the array is empty, this property will not be included in the response.",https://developers.line.biz/en/reference/messaging-api/#error-responses
messaging-api,Common specifications,Error responses,,details[].message,String,false,"annotation=""Not always included""",,"Details of the error. Not included in the response under certain situations. For more information about details of the error on the Managing Audience endpoints, see Details of the error related to audience management.",https://developers.line.biz/en/reference/messaging-api/#error-responses
messaging-api,Common specifications,Error responses,,details[].property,String,false,"annotation=""Not always included""",,Location of where the error occurred. Returns the JSON field name or query parameter name of the request. Not included in the response under certain situations.,https://developers.line.biz/en/reference/messaging-api/#error-responses
messaging-api,Webhooks,Request headers,,x-line-signature,Used for signature validation,,,,,https://developers.line.biz/en/reference/messaging-api/#request-headers
messaging-api,Webhooks,Request body,,destination,String,,,,"User ID of a bot that should receive webhook events. The user ID value is a string that matches the regular expression, U[0-9a-f]{32}.",https://developers.line.biz/en/reference/messaging-api/#request-body
messaging-api,Webhooks,Request body,,events,Array,,,,Array of webhook event objects. The LINE Platform may send an empty array that doesn't include a webhook event object to confirm communication.,https://developers.line.biz/en/reference/messaging-api/#request-body
messaging-api,Webhook Event Objects,Common properties,,type,String,,,,Identifier for the type of event,https://developers.line.biz/en/reference/messaging-api/#common-properties
messaging-api,Webhook Event Objects,Common properties,,mode,String,,,,"Channel state. - active: The channel is active. You can send a reply message or push message, etc. from the bot server that received this webhook event. - standby: The channel is waiting. When the channel state is standby, the webhook event won't contain a reply token to send reply message. For more information about the timing of the channel state set to standby, see Get webhook event in the module documentation. When the channel state is standby, the bot server shouldn't send any messages When the channel state is standby, the module may be replying or otherwise reacting to the content of th",https://developers.line.biz/en/reference/messaging-api/#common-properties
messaging-api,Webhook Event Objects,Common properties,,timestamp,Number,,,,"UNIX time of the event occurred (in milliseconds). Even in the case of a redelivered webhook, it represents the time the event occurred, not the time it was redelivered. Check timestamp if webhook redelivery is enabled If webhook redelivery is enabled, the order in which webhook events occur and the order in which they reach the bot server can be different significantly. If this is an issue, check the context by looking at the timestamp.",https://developers.line.biz/en/reference/messaging-api/#common-properties
messaging-api,Webhook Event Objects,Common properties,,source,Object,false,"annotation=""Not always included""",,"Source user, group chat, or multi-person chat object with information about the source of the event. This property won't be included in the account link event if linking the account has failed.",https://developers.line.biz/en/reference/messaging-api/#common-properties
messaging-api,Webhook Event Objects,Common properties,,webhookEventId,String,,,,Webhook Event ID. An ID that uniquely identifies a webhook event. This is a string in ULID format.,https://developers.line.biz/en/reference/messaging-api/#common-properties
messaging-api,Webhook Event Objects,Common properties,,deliveryContext.isRedelivery,Boolean,,,,"Whether the webhook event is a redelivered one or not. For more information, see Redelivered webhooks. - true: Redelivered webhook event. - false: First webhook event sent.",https://developers.line.biz/en/reference/messaging-api/#common-properties
messaging-api,Webhook Event Objects,Common properties,Source user,type,String,,,,user,https://developers.line.biz/en/reference/messaging-api/#common-properties
messaging-api,Webhook Event Objects,Common properties,Source user,userId,String,,,,ID of the source user,https://developers.line.biz/en/reference/messaging-api/#common-properties
messaging-api,Webhook Event Objects,Common properties,Source group chat,type,String,,,,group,https://developers.line.biz/en/reference/messaging-api/#common-properties
messaging-api,Webhook Event Objects,Common properties,Source group chat,groupId,String,,,,Group ID of the source group chat,https://developers.line.biz/en/reference/messaging-api/#common-properties
messaging-api,Webhook Event Objects,Common properties,Source group chat,userId,String,false,"annotation=""Not always included""",,"ID of the source user. Only included in message events. Only users of LINE for iOS and LINE for Android are included in userId. For more information, see Consent on getting user profile information.",https://developers.line.biz/en/reference/messaging-api/#common-properties
messaging-api,Webhook Event Objects,Common properties,Source multi-person chat,type,String,,,,room,https://developers.line.biz/en/reference/messaging-api/#common-properties
messaging-api,Webhook Event Objects,Common properties,Source multi-person chat,roomId,String,,,,Room ID of the source multi-person chat,https://developers.line.biz/en/reference/messaging-api/#common-properties
messaging-api,Webhook Event Objects,Common properties,Source multi-person chat,userId,String,false,"annotation=""Not always included""",,"ID of the source user. Only included in message events. Only users of LINE for iOS and LINE for Android are included in userId. For more information, see Consent on getting user profile information.",https://developers.line.biz/en/reference/messaging-api/#common-properties
messaging-api,Webhook Event Objects,Message event,,"timestamp, source, etc.",See Common Properties.,,,,,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,,type,String,,,,message,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,,replyToken,String,,,,Reply token used to send reply message to this event,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,,message,Object,,,,Object containing the contents of the message. Message types include: - Text - Image - Video - Audio - File - Location - Sticker,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Text,id,String,,,,"Message ID. If the event is an edit event, the message ID is the same as the message ID in the original message event.",https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Text,type,String,,,,text,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Text,quoteToken,String,,,,"Quote token of the message. For more information, see Get quote tokens in the Messaging API documentation. The quote token in an edit event has a different value from the quote token in the original message event. You can use either quote token to quote the edited message.",https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Text,markAsReadToken,String,false,"annotation=""Not always included""",,"Read token. This token allows you to mark messages as read. It has no expiration date. For more information, see Mark messages as read in the Messaging API documentation. The edit event doesn't include a read token.",https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Text,text,String,,,,"Message text. - If the end user sends a LINE emoji, the LINE emoji will be included as a string, like (hello) or (love). You can find the LINE emoji details in the emojis property. - If the end user mentions someone, the display name of the recipient's LINE account will be included as a string, like @example. You can find the mention details in the mention property.",https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Text,emojis,Array,false,"annotation=""Not always included""",,Array of one or more LINE emoji objects. Only included in the message event when the text property contains a LINE emoji. Sent LINE emoji may not be included in the emojis property - The default LINE emojis sent from LINE for Android won't be included. - Unicode-defined emojis and older versions of LINE emojis may not be retrieved correctly.,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Text,emojis[].index,Number,,,,"Index position for a character in text, with the first character being at position 0.",https://developers.line.biz/en/reference/messaging-api/#message-event
