product,page,page_title,section,rule,doc_url
liff,liff/development-guidelines,LIFF app development guidelines,,Be sure to securely handle user data,https://developers.line.biz/en/docs/liff/development-guidelines/
liff,liff/development-guidelines,LIFF app development guidelines,,Cautions for initializing LIFF apps,https://developers.line.biz/en/docs/liff/development-guidelines/
liff,liff/development-guidelines,LIFF app development guidelines,,LIFF app development rules,https://developers.line.biz/en/docs/liff/development-guidelines/
liff,liff/development-guidelines,LIFF app development guidelines,,Prohibiting mass requests to the LINE Platform,https://developers.line.biz/en/docs/liff/development-guidelines/
liff,liff/development-guidelines,LIFF app development guidelines,,Deauthorize your app when a user unregisters from your app,https://developers.line.biz/en/docs/liff/development-guidelines/
liff,liff/development-guidelines,LIFF app development guidelines,Be sure to securely handle user data,"LIFF endpoint URLs and URL fragments of LIFF URLs contain sensitive information such as access tokens and user IDs, so be careful of data leakage.",https://developers.line.biz/en/docs/liff/development-guidelines/
liff,liff/development-guidelines,LIFF app development guidelines,LIFF app development rules,"To build a LIFF app as an SPA (single page application), use the History API. LIFF has limited compatibility with routing using fragments.",https://developers.line.biz/en/docs/liff/development-guidelines/
liff,liff/development-guidelines,LIFF app development guidelines,LIFF app development rules,"When you implement an API that uses any of the device or OS functions listed below, implement the API so that user actions trigger API calls.",https://developers.line.biz/en/docs/liff/development-guidelines/
liff,liff/development-guidelines,LIFF app development guidelines,LIFF app development rules,Getting location information,https://developers.line.biz/en/docs/liff/development-guidelines/
liff,liff/development-guidelines,LIFF app development guidelines,LIFF app development rules,Accessing the camera,https://developers.line.biz/en/docs/liff/development-guidelines/
liff,liff/development-guidelines,LIFF app development guidelines,LIFF app development rules,Accessing the microphone,https://developers.line.biz/en/docs/liff/development-guidelines/
liff,liff/development-guidelines,LIFF app development guidelines,LIFF app development rules,"Do not track a user with cookies, localStorage, or sessionStorage or link LINE user data with external session information without getting the user's consent.",https://developers.line.biz/en/docs/liff/development-guidelines/
liff,liff/development-guidelines,LIFF app development guidelines,LIFF app development rules,"During your application's test phase, limit access privileges for the LIFF app through your web app.",https://developers.line.biz/en/docs/liff/development-guidelines/
liff,liff/development-guidelines,LIFF app development guidelines,LIFF app development rules,"The URL scheme of the LIFF app and any content that is opened in the LIFF app must be https. If the URL scheme is http, the content is displayed in LINE's in-app browser. In this case, even if the web app has been registered as a LIFF app, it does not function as a LIFF app.",https://developers.line.biz/en/docs/liff/development-guidelines/
liff,liff/development-guidelines,LIFF app development guidelines,Deauthorize your app when a user unregisters from your app,"e.g. If you unsubscribe from the service, LY Corporation will be notified that you have unsubscribed and the link between the service and LINE app will be terminated.",https://developers.line.biz/en/docs/liff/development-guidelines/
liff,liff/development-guidelines,LIFF app development guidelines,Deauthorize your app when a user unregisters from your app,"e.g. If you do this, LY Corporation will be notified and the link between the service and LINE app will be terminated.",https://developers.line.biz/en/docs/liff/development-guidelines/
liff,liff/versioning-policy,Versioning policy,,The LIFF MAJOR version status,https://developers.line.biz/en/docs/liff/versioning-policy/
liff,liff/versioning-policy,Versioning policy,,The LIFF Versioning policy,https://developers.line.biz/en/docs/liff/versioning-policy/
liff,liff/versioning-policy,Versioning policy,,The LIFF SDK (sdk.js) update policy,https://developers.line.biz/en/docs/liff/versioning-policy/
liff,liff/versioning-policy,Versioning policy,,The LIFF SDK life cycle,https://developers.line.biz/en/docs/liff/versioning-policy/
line-ads-api,line-ads-api/development-guidelines,LINE Ads API development guidelines,Logs for LINE Ads API request,Status code returned in response by the LINE Platform,https://developers.line.biz/en/docs/line-ads-api/development-guidelines/
line-login,line-login/development-guidelines,LINE Login development guidelines,,Prohibiting mass requests to the LINE Platform,https://developers.line.biz/en/docs/line-login/development-guidelines/
line-login,line-login/development-guidelines,LINE Login development guidelines,,Deauthorize your app when a user unregisters from your app,https://developers.line.biz/en/docs/line-login/development-guidelines/
line-login,line-login/development-guidelines,LINE Login development guidelines,Deauthorize your app when a user unregisters from your app,"e.g. If you unsubscribe from the service, LY Corporation will be notified that you have unsubscribed and the link between the service and LINE app will be terminated.",https://developers.line.biz/en/docs/line-login/development-guidelines/
line-login,line-login/development-guidelines,LINE Login development guidelines,Deauthorize your app when a user unregisters from your app,"e.g. If you do this, LY Corporation will be notified and the link between the service and LINE app will be terminated.",https://developers.line.biz/en/docs/line-login/development-guidelines/
line-login,line-login/development-guidelines,LINE Login development guidelines,Authorization request logs,Time when authorization request was made,https://developers.line.biz/en/docs/line-login/development-guidelines/
line-login,line-login/development-guidelines,LINE Login development guidelines,Authorization request logs,Parameter of the authorization request,https://developers.line.biz/en/docs/line-login/development-guidelines/
line-login,line-login/development-guidelines,LINE Login development guidelines,Authorization code or error response,Time when the authorization code or error response was received,https://developers.line.biz/en/docs/line-login/development-guidelines/
