question,product,tags,doc_url
I made a rich menu with Bot Designer but it isn't working.,Bot Designer,"Bot Designer, LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#i-made-a-rich-menu-but-it-does-not-appear-on-the-chat-screen
I made a template message in Bot Designer but the link doesn't work.,Bot Designer,"Bot Designer, LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#i-made-a-template-message-but-the-link-does-not-work
How many channels can I create?,LINE Developers Console,"LINE Developers Console, LINE Platform, LINE Login, LIFF, LINE MINI App, LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#how-many-channels-can-i-create
Where can I find my Channel ID?,LINE Developers Console,"LINE Developers Console, LINE Platform, LINE Login, LIFF, LINE MINI App, Messaging API",https://developers.line.biz/en/faq/#where-can-i-find-channel-id
Where can I find my Provider ID?,LINE Developers Console,"LINE Developers Console, LINE Platform, LINE Login, LIFF, LINE MINI App, Messaging API",https://developers.line.biz/en/faq/#where-can-i-find-provider-id
Where can I change the company name displayed in the LINE Official Account business profile?,LINE Developers Console,"LINE Developers Console, LINE Platform, LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#can-i-change-company-name-on-profile-page
How do I contact technical support for inquiring about LINE APIs?,Contact,Contact,https://developers.line.biz/en/faq/#i-need-technical-support
How do I report an issue about the LINE Platform?,Contact,"Contact, LINE Platform, LINE Login, LIFF, LINE MINI App, Messaging API",https://developers.line.biz/en/faq/#how-do-i-report-an-issue
"When trying social login with google account in the LIFF browser or LINE's in-app browser, an error with a status code 403 and an error code disallowed_useragent will be displayed.",LIFF,"LIFF, LINE MINI App, LINE app",https://developers.line.biz/en/faq/#social-login-with-google-does-not-work-in-the-liff-browser-or-lines-in-app-browser
Why can't I open a page and an error message appears in the LIFF browser or LINE's in-app browser?,LIFF,"LIFF, LINE MINI App, LINE app",https://developers.line.biz/en/faq/#why-cant-i-open-a-page-in-the-liff-browser-or-lines-in-app-browser
Why can't I open the LIFF browser when I access the LIFF URL?,LIFF,"LIFF, LINE MINI App, LINE app",https://developers.line.biz/en/faq/#why-cant-i-open-the-liff-browser-when-i-access-the-liff-url
How can I get a user's phone number?,LINE Platform,"LINE Platform, LINE Login, LIFF, LINE MINI App, LINE Official Account, Messaging API, Options for corporate customers",https://developers.line.biz/en/faq/#how-can-get-email-phone-scopes
Is it possible for the user IDs of users who have deleted their LINE accounts to be used again?,LINE Platform,"LINE Platform, LINE Login, LIFF, LINE MINI App, Messaging API",https://developers.line.biz/en/faq/#is-userid-reused
"What are the user ID, group ID, and room ID values?",LINE Platform,"LINE Platform, LINE Login, LIFF, LINE MINI App, Messaging API",https://developers.line.biz/en/faq/#what-are-userid-groupid-and-roomid
"Once a user ID is issued, can it be changed at any time?",LINE Platform,"LINE Platform, LINE Login, LIFF, LINE MINI App, Messaging API",https://developers.line.biz/en/faq/#when-can-userid-be-changed
Where can I check the status of LINE API outage?,LINE Platform,"LINE Platform, Outage Report, LINE Login, LIFF, LINE MINI App, Messaging API",https://developers.line.biz/en/faq/#where-can-i-check-the-status-of-line-api-outage
Can I migrate a web app or LIFF app to a LINE MINI App?,LIFF,"LIFF, LINE MINI App",https://developers.line.biz/en/faq/#can-i-migrate-a-web-app-or-liff-app-to-line-mini-app
"Is the additional information (path, query parameters, URL fragments) included in the LIFF URL accessed by the user also passed to the redirected URL?",LIFF,"LIFF, LINE MINI App",https://developers.line.biz/en/faq/#is-the-additional-information-of-liff-url-also-passed-to-the-redirected-url
What are the differences between the LIFF browser and external browsers?,LIFF,"LIFF, LINE MINI App",https://developers.line.biz/en/faq/#what-are-the-differences-between-the-liff-browser-and-external-browsers
Can I get permissions to use restricted API resources such as Graph and User Message APIs?,LINE Login SDK,LINE Login SDK,https://developers.line.biz/en/faq/#how-can-i-get-permimssions-for-restricted-apis
How do I download the LINE SDK?,LINE Login SDK,LINE Login SDK,https://developers.line.biz/en/faq/#how-do-i-download-the-line-sdk
I got an error when sending a message to multiple users. Was the message delivered to any recipients other than the one that caused the error?,LINE app,"LINE app, LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#are-messages-not-being-delivered-to-anyone
How are the URL previews in chats and on LINE VOOM generated?,LINE app,"LINE app, LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#how-are-the-url-previews-generated
"When sending a text message, a series of numbers may be considered a phone number, or a string of characters may be considered a URL, and be linked as such. What causes this behavior?",LINE app,"LINE app, LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#what-is-the-rule-to-generate-a-link-from-a-text
Why do URLs in text messages sometimes not become links?,LINE app,"LINE app, LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#why-do-urls-in-text-messages-sometimes-not-become-links
Which browsers does LINE Developers support?,LINE Developers site,LINE Developers site,https://developers.line.biz/en/faq/#what-is-the-recommended-browser-for-line-developers
How does auto login work?,LINE Login,LINE Login,https://developers.line.biz/en/faq/#how-does-auto-login-work
Why do I get an NLChannelGatewayErrorDomain error when I try to use LINE Login in my application?,LINE Login,LINE Login,https://developers.line.biz/en/faq/#why-do-i-get-nlchannelgatewayerrordomain
Can users add a LINE MINI App icon to their device's home screen?,LINE MINI App,LINE MINI App,https://developers.line.biz/en/faq/#can-i-add-line-mini-app-icon-to-home-screen
Can users access LINE MINI Apps without installing the LINE app?,LINE MINI App,LINE MINI App,https://developers.line.biz/en/faq/#can-users-who-do-not-use-line-use-line-mini-apps
Does it cost money to send notifications to users from LINE MINI Apps?,LINE MINI App,LINE MINI App,https://developers.line.biz/en/faq/#does-it-cost-money-to-send-notifications-with-line-mini-apps
Is there any benefit to using LINE MINI Apps alongside an existing native app?,LINE MINI App,LINE MINI App,https://developers.line.biz/en/faq/#is-there-any-benefit-to-using-line-mini-apps-with-native-app
Can I add LINE Official Accounts to a group chat or multi-person chat?,LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#can-i-add-line-official-accounts-to-a-group-chat-or-multi-person-chat
Can I block a user who has added my LINE Official Account as a friend?,LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#can-i-block-a-user-who-has-added-my-line-official-account-as-a-friend
Can I determine if a user is a friend of my LINE Official Account?,LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#can-i-determine-if-user-is-friend-of-line-official-account
Can I get the list of group chats and multi-person chats that my LINE Official Account is participating in?,LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#can-i-get-the-list-of-group-chats-and-multi-person-chats
Can I internationalize or multilingualize messages and rich menus?,LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#can-i-internationalize-messages-and-rich-menus
Can I make the background of rich menus transparent?,LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#can-i-make-background-of-rich-menu-transparent
Can I see the paths taken by users to add my LINE Official Account as a friend on a per-user basis?,LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#can-i-see-the-paths-taken-by-users-to-add-my-line-official-account
"If a user shares my LINE Official Account with a friend, can I see the result of the friend referral (whether my LINE Official Account was added as a friend or not, and how many people added the LINE Official Account)?",LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#can-i-see-the-results-of-friend-referrals
Can I see who has read a message I've sent from my LINE Official Account?,LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#can-i-see-who-has-read-a-message-i-have-sent
Can I send PDF files with the Messaging API?,LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#can-i-send-pdf-file-with-messaging-api
Can I send purchased or company-owned stickers using the Messaging API?,LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#can-i-send-purchased-or-company-owned-stickers
"If my LINE Official Account is alreadly linked to a Messaging API channel, can I un-link my LINE Official Account from the Messaging API channel?",LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#can-i-un-link-my-line-official-account
Can I unsend or delete a message sent from my LINE Official Account?,LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#can-i-unsend-or-delete-a-message
Do messages sent using the Messaging API reach users immediately?,LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#do-messages-sent-reach-users-immediately
Do reply messages count towards the message count?,LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#do-reply-messages-count-towards-the-message-count
Does it cost money to use the Messaging API?,LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#does-it-cost-money-to-use-the-messaging-api
How can I get the name and profile image of a group chat?,LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#how-can-get-the-name-and-profile-image-of-a-group
Can I delete the bot for my LINE Official Account?,LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#how-can-i-delete-bot
How can I find out the file format of the retrieved content?,LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#how-can-i-find-out-content-file-format
How can I use the Messaging API with my existing LINE Official Account?,LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#how-can-i-use-messaging-api-with-my-existing-line-official-account
"I sent a message via the Messaging API, but the user didn't receive the message.",LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#i-sent-a-message-but-the-user-did-not-receive-it
"If I send a message to a user who doesn't receive the message, is it still counted as one message?",LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#is-an-invalid-user-counted-to-the-number-of-messages-sent
Do I get an error when I send a message with a user ID that blocks the LINE Official Account?,LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#what-error-is-returned-when-a-message-is-sent-to-a-nonfriend-user
I want to restrict access to the bot server from non-LINE Platform. Is the IP address of the LINE Platform public?,LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#what-is-ip-address-of-line-platform
"If I send a push message with multiple message objects (for example, 4) in a single request to a group chat or multi-person chat with multiple people (for example, 5 people), how many messages will be counted?",LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#what-is-the-number-of-messages-sent-when-sending-a-message-to-a-group-or-room
"If I set multiple message objects in the request body when sending a message, will the messages be delivered in the order they are set from the top?",LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#what-is-the-order-of-the-message-arrival
"How many full-width characters, emojis, line breaks, and so on, are counted in the text character count?",LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#what-is-the-rule-to-count-the-number-of-character
Is the message ID in the message webhook event object unique per message type or per channel?,LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#what-is-the-uniqueness-of-the-message-id
"If I send multiple messages to the same user with the Messaging API, in what order will the messages be displayed?",LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#what-order-are-messages-displayed
Where can I find my user ID?,LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#where-can-i-find-my-user-id
Why can't I play a video that I sent as a message?,LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#why-cant-i-play-a-video-i-sent
Why can't I receive webhook events?,LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#why-cant-i-receive-webhook-events
Why do I get a 429 Too Many Requests error (You have reached your monthly limit.) even though I still have messages available to send for the current month?,LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#why-do-i-get-429-error-during-message-delivery
Why does my LINE Official Account automatically leave a group chat or multi-person chat after I've invited it?,LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#why-does-my-bot-automatically-leave-from-group-chats
Why does my LINE Official Account automatically send replies?,LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#why-does-my-bot-automatically-send-replies
Why does the default rich menu reappear even though I have set a per-user rich menu?,LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#why-does-the-default-rich-menu-reappear
Why isn't the intended rich menu displayed?,LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#why-isnt-the-intended-rich-menu-displayed
Why won't my iPad display rich menus?,LINE Official Account,"LINE Official Account, Messaging API",https://developers.line.biz/en/faq/#why-wont-my-ipad-display-rich-menus
Can I try out APIs that are only available to verified accounts or features that require a specific application?,LINE Official Account,"LINE Official Account, Messaging API, Options for corporate customers",https://developers.line.biz/en/faq/#can-i-try-features-for-limited-customers
Can I set multiple bot server endpoints in the webhook URL?,Messaging API,Messaging API,https://developers.line.biz/en/faq/#can-i-set-multiple-endpoints-in-the-webhook-url
Can I add buttons to both PC and mobile web pages?,LINE Social Plugins,LINE Social Plugins,https://developers.line.biz/en/faq/#can-i-add-button-to-pc-mobile
Can I resize the buttons?,LINE Social Plugins,LINE Social Plugins,https://developers.line.biz/en/faq/#can-i-resize-the-buttons
Can I see the total number of button clicks/taps I get?,LINE Social Plugins,LINE Social Plugins,https://developers.line.biz/en/faq/#can-i-see-number-of-clicks-i-get
Are there times when the Add friend button can't be used?,LINE Social Plugins,"LINE Social Plugins, Add friend button",https://developers.line.biz/en/faq/#are-there-times-friend-button-cant-be-used
Can anyone set the Add friend button?,LINE Social Plugins,"LINE Social Plugins, Add friend button",https://developers.line.biz/en/faq/#can-anyone-set-friend-button
"When installing the Add friend button, can I use my personal LINE ID?",LINE Social Plugins,"LINE Social Plugins, Add friend button",https://developers.line.biz/en/faq/#can-i-use-personal-line-id
Can I delete LINE official accounts after I add them as friends?,LINE Social Plugins,"LINE Social Plugins, Add friend button",https://developers.line.biz/en/faq/#can-remove-account-after-add-friend
"The Like button and Add friend button don't work on Safari, even if I log in.",LINE Social Plugins,"LINE Social Plugins, Like button, Add friend button",https://developers.line.biz/en/faq/#button-doesnt-work-safari
