event,schema,properties,required,description,doc_url
accountLink,AccountLinkEvent,"deliveryContext,link,mode,replyToken,source,timestamp,type,webhookEventId","deliveryContext,link,mode,timestamp,type,webhookEventId",Event object for when a user has linked their LINE account with a provider's service account. You can reply to account link events.,https://developers.line.biz/en/reference/messaging-api/#account-link-event
activated,ActivatedEvent,"chatControl,deliveryContext,mode,source,timestamp,type,webhookEventId","chatControl,deliveryContext,mode,timestamp,type,webhookEventId",This event indicates that the module channel has been switched to Active Channel by calling the Acquire Control API. Sent to the webhook URL server of the module channel.,https://developers.line.biz/en/reference/partner-docs/#activated-event
beacon,BeaconEvent,"beacon,deliveryContext,mode,replyToken,source,timestamp,type,webhookEventId","beacon,deliveryContext,mode,replyToken,timestamp,type,webhookEventId",Event object for when a user enters the range of a LINE Beacon. You can reply to beacon events.,https://developers.line.biz/en/reference/messaging-api/#beacon-event
botResumed,BotResumedEvent,"deliveryContext,mode,source,timestamp,type,webhookEventId","deliveryContext,mode,timestamp,type,webhookEventId",This event indicates that the LINE Official Account has returned from the suspended state. Sent to the webhook URL server of the module channel.,https://developers.line.biz/en/reference/partner-docs/#botresumed-event
botSuspended,BotSuspendedEvent,"deliveryContext,mode,source,timestamp,type,webhookEventId","deliveryContext,mode,timestamp,type,webhookEventId",This event indicates that the LINE Official Account has been suspended (Suspend). Sent to the webhook URL server of the module channel.,https://developers.line.biz/en/reference/partner-docs/#botsuspend-event
deactivated,DeactivatedEvent,"deliveryContext,mode,source,timestamp,type,webhookEventId","deliveryContext,mode,timestamp,type,webhookEventId",This event indicates that the module channel has been switched to Standby Channel by calling Acquire Control API or Release Control API. Sent to the webhook URL server of the module channel.,https://developers.line.biz/en/reference/partner-docs/#deactivated-event
delivery,PnpDeliveryCompletionEvent,"delivery,deliveryContext,mode,source,timestamp,type,webhookEventId","delivery,deliveryContext,mode,timestamp,type,webhookEventId","When a request is made to the LINE notification messages API and delivery of the LINE notification message to the user is completed, a dedicated webhook event (delivery completion event) is sent from the LINE Platform to the webhook URL of the bot server.",https://developers.line.biz/en/docs/partner-docs/line-notification-messages/message-sending-complete-webhook-event/#overview-delivery-webhook-event
follow,FollowEvent,"deliveryContext,follow,mode,replyToken,source,timestamp,type,webhookEventId","deliveryContext,follow,mode,replyToken,timestamp,type,webhookEventId",Event object for when your LINE Official Account is added as a friend (or unblocked). You can reply to follow events.,https://developers.line.biz/en/reference/messaging-api/#follow-event
join,JoinEvent,"deliveryContext,mode,replyToken,source,timestamp,type,webhookEventId","deliveryContext,mode,replyToken,timestamp,type,webhookEventId",Event object for when your LINE Official Account joins a group chat or multi-person chat. You can reply to join events.,https://developers.line.biz/en/reference/messaging-api/#join-event
leave,LeaveEvent,"deliveryContext,mode,source,timestamp,type,webhookEventId","deliveryContext,mode,timestamp,type,webhookEventId",Event object for when a user removes your LINE Official Account from a group chat or when your LINE Official Account leaves a group chat or multi-person chat.,https://developers.line.biz/en/reference/messaging-api/#leave-event
memberJoined,MemberJoinedEvent,"deliveryContext,joined,mode,replyToken,source,timestamp,type,webhookEventId","deliveryContext,joined,mode,replyToken,timestamp,type,webhookEventId",Event object for when a user joins a group chat or multi-person chat that the LINE Official Account is in.,https://developers.line.biz/en/reference/messaging-api/#member-joined-event
memberLeft,MemberLeftEvent,"deliveryContext,left,mode,source,timestamp,type,webhookEventId","deliveryContext,left,mode,timestamp,type,webhookEventId",Event object for when a user leaves a group chat or multi-person chat that the LINE Official Account is in.,https://developers.line.biz/en/reference/messaging-api/#member-left-event
membership,MembershipEvent,"deliveryContext,membership,mode,replyToken,source,timestamp,type,webhookEventId","deliveryContext,membership,mode,replyToken,timestamp,type,webhookEventId","This event indicates that a user has subscribed (joined), unsubscribed (left), or renewed the bot's membership.",https://developers.line.biz/en/reference/messaging-api/#membership-event
message,MessageEvent,"deliveryContext,message,mode,replyToken,source,timestamp,type,webhookEventId","deliveryContext,message,mode,timestamp,type,webhookEventId",Webhook event object which contains the sent message.,https://developers.line.biz/en/reference/messaging-api/#message-event
messageEdited,MessageEditedEvent,"deliveryContext,message,mode,replyToken,source,timestamp,type,webhookEventId","deliveryContext,message,mode,timestamp,type,webhookEventId","Webhook event object which contains the edited message. This event is triggered when a user edits a text message. Currently, message editing is not available in one-on-one chats with LINE Official Accounts, so this event is only triggered in group chats. Multiple messageEdited webhook events may arrive out of order. The event with the largest timestamp represents the latest edit state.",https://developers.line.biz/en/reference/messaging-api/#edit-event
module,ModuleEvent,"deliveryContext,mode,module,source,timestamp,type,webhookEventId","deliveryContext,mode,module,timestamp,type,webhookEventId",This event indicates that the module channel has been attached to the LINE Official Account. Sent to the webhook URL server of the module channel.,https://developers.line.biz/en/reference/partner-docs/#module-channel-specific-webhook-events
postback,PostbackEvent,"deliveryContext,mode,postback,replyToken,source,timestamp,type,webhookEventId","deliveryContext,mode,postback,timestamp,type,webhookEventId",Event object for when a user performs a postback action which initiates a postback. You can reply to postback events.,https://developers.line.biz/en/reference/messaging-api/#postback-event
unfollow,UnfollowEvent,"deliveryContext,mode,source,timestamp,type,webhookEventId","deliveryContext,mode,timestamp,type,webhookEventId",Event object for when your LINE Official Account is blocked.,https://developers.line.biz/en/reference/messaging-api/#unfollow-event
unsend,UnsendEvent,"deliveryContext,mode,source,timestamp,type,unsend,webhookEventId","deliveryContext,mode,timestamp,type,unsend,webhookEventId",Event object for when the user unsends a message.,https://developers.line.biz/en/reference/messaging-api/#unsend-event
videoPlayComplete,VideoPlayCompleteEvent,"deliveryContext,mode,replyToken,source,timestamp,type,videoPlayComplete,webhookEventId","deliveryContext,mode,replyToken,timestamp,type,videoPlayComplete,webhookEventId",Event for when a user finishes viewing a video at least once with the specified trackingId sent by the LINE Official Account.,https://developers.line.biz/en/reference/messaging-api/#video-viewing-complete
message.audio,AudioMessageContent,"contentProvider,duration,id,markAsReadToken,type","contentProvider,id,type",,https://developers.line.biz/en/reference/messaging-api/#audio-message
message.file,FileMessageContent,"fileName,fileSize,id,markAsReadToken,type","fileName,fileSize,id,type",,https://developers.line.biz/en/reference/messaging-api/#file-message
message.image,ImageMessageContent,"contentProvider,id,imageSet,markAsReadToken,quoteToken,type","contentProvider,id,quoteToken,type",,https://developers.line.biz/en/reference/messaging-api/#image-message
message.location,LocationMessageContent,"address,id,latitude,longitude,markAsReadToken,title,type","id,latitude,longitude,type",,https://developers.line.biz/en/reference/messaging-api/#location-message
message.sticker,StickerMessageContent,"id,keywords,markAsReadToken,packageId,quoteToken,quotedMessageId,stickerId,stickerResourceType,text,type","id,packageId,quoteToken,stickerId,stickerResourceType,type",,https://developers.line.biz/en/reference/messaging-api/#sticker-message
message.text,TextMessageContent,"emojis,id,markAsReadToken,mention,quoteToken,quotedMessageId,text,type","id,quoteToken,text,type",,https://developers.line.biz/en/reference/messaging-api/#text-message
message.video,VideoMessageContent,"contentProvider,duration,id,markAsReadToken,quoteToken,type","contentProvider,id,quoteToken,type",,https://developers.line.biz/en/reference/messaging-api/#video-message
